,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
38528,55767,I don't like this.,I don't like it.,I don't like this. | I don't like this.,I do not like this. | I do not like this. | I do not like this. | I do not like this. | I do not like this.,I don't like that. | I don't like that. | I don't like that.,I don't like that. | I don't like that.,I don't like it. | I don't like it. | I don't like it.,I don't like that. | I don't like that.,I don't care about this.,I don't like it. | I don't like it.,I don't like it.,I do not like that.,I don't like that.,I don't like that.
38732,55984,Is this your umbrella?,Is this umbrella yours? Is this umbrella yours?,Is this your umbrella? | Is this your umbrella?,Is this your raincoat? | Is this your raincoat?,Is it your umbrella?,Is this your umbrella? | Is this your umbrella?,That's your battery?,Is this your umbrella? Is this his umbrella? Is this your umbrella? Is this your umbrella? Is this his umbrella? Is this your umbrella?,Is this your umbrella? | Is this your umbrella?,Is it your umbrella? | Is it your umbrella?,Is this your umbrella? | Is this your umbrella?,Is this your parachute?,Is this your umbrella? | Is this your umbrella?,Is that your umbrella? | Is that your umbrella?
39336,56634,What do you call this vegetable in English?,What is the name of this vegetable in English?,What is the name of this vegetable in English?,Why is this hate being said in English?,What is the name of this vegetable in English? | What do you call this vegetable in English?,How do you call this vegetable in English? | What is this vegetable called in English?,What are these vegetables called in English?,What is this vegetable called in English?,What does this vegetable say in English? | What does this vegetable say in English? | What does this vegetable say in English?,What is the name of this vegetable in English?,How is this vegetable called in English? | How do you call this vegetable in English?,What is the name of this vegetable in English? | What is the name of this vegetable in English?,What would you say to this vegetable in English?,What is the name of this vegetable in English?
39580,56910,This book is new.,This book is a new one.,This book is new.,This book is new.,This book is new. | This book is new.,This book is new.,This book is new.,This book is brand new.,This book is new. | This book is a new publication.,This book is new.,This book is new.,This book is new.,This book is new.,This book is new.
40569,57974,I don't understand this word.,I don't know the word.,I don't understand this word.,I do not understand that word.,I do not understand that word.,I do not understand that word.,I don't understand that word.,I don't understand this word. I don't understand this word. I don't understand this word. I don't understand this word.,I don't know the meaning of this word. | I don't know this word. | I don't know this word.,I do not understand that word.,I don't understand this word. | This word I don't understand. | I don't understand this word.,I do not understand that word.,I do not understand that word. | I do not understand that word.,I don't understand that word.
41714,59199,Don't throw away this magazine.,Don't throw away this magazine.,Don't throw away this magazine.,Do not throw them out of this newspaper.,Do not throw this magazine. | Do not throw this magazine.,Don't throw away this magazine! | Don't throw away this magazine.,Don't throw away this magazine. | Don't throw away this weekly.,Don't throw away this magazine. Don't throw away this magazine. Don't throw away these magazines.,Don't throw away this magazine.,Do not throw out this warehouse.,Do not delete this journal. | Do not delete this journal.,Don't take this magazine away from me. | Don't take this magazine away.,Drop this magazine.,Don't throw away that journal.
42988,60560,This program cannot be run in DOS mode.,This program cannot be executed in DOS mode.,This program cannot be run in DOS mode.,This programme cannot be carried out in DOS mode.,This program cannot be executed in DOS mode.,This program cannot be run in DOS mode.,You can't run this program in DOS.,This program cannot be run in DOS mode.,This program does not work in DOS mode.,This program cannot be run in DOS mode.,This program cannot be run in DOS mode.,This program cannot be run in DOS mode.,This program cannot be run in DOS mode.,This software can't be run in DOS.
43098,60676,Does this bus go to the beach?,Is this bus going to the beach?,Is this bus going to the beach?,Is this bus going to the beach?,Is this bus going to the beach? | Is this bus going to the beach?,Is this bus going to the beach?,Is this bus coming to the shore?,Is this bus going to the beach?,Is this bus going to the beach? | Is this bus going to the coast?,Is this bus going to the beach?,Is this bus going to the beach? | Is this bus going to the beach?,Is this bus going to the beach?,Is this bus going to the beach?,Is this bus going to the beach? | Is this bus going to the beach?
43174,60758,The knife is not sharp.,The knife is not sharp.,The knife is not sharp.,It is not sharp.,The knife is not sharpened.,The knife is not sharp.,The knife is not sharp. | The knife is not sharp. | The knife is not sharp. | The knife is not sharp.,The knife is not sharp.,This knife doesn't cut well. | The knife isn't sharp. | This knife doesn't cut well. | This knife doesn't cut well.,Nothing is sharp.,The knife is not sharp. | The knife is dull.,| The knife is not philosophical.,The knife is not the sword.,It's not harsh.
43864,61484,This is my daughter.,This is my daughter.,This is my daughter.,This is my daughter. | This is my daughter.,That's my daughter.,That's my daughter.,That's my daughter.,This is my daughter.,This is my daughter. | This is my daughter.,This is my daughter. | Here is my daughter. | This is my daughter.,This is my daughter.,This is my daughter.,This is my daughter. | This is my daughter.,This is my daughter. | This is my daughter.
43988,61614,This is a hospital.,This is a hospital.,Here's a hospital. | This is a hospital.,This is a hospital.,It is a hospital.,This is a hospital.,This is a hospital.,This is a hospital.,This is a hospital. | This is a hospital.,It is a hospital.,Here's the hospital. | This is the hospital.,This is a hospital.,This is a hospital.,This is a hospital. | This is a hospital. | This is a hospital.
44219,61875,Please wait here.,Please wait here.,"Wait here, please. | Wait here, please.","Wait here, all right.",Please wait here.,Please wait here | Please wait here | Please wait here,Please stay here.,Please wait here. Please wait here. Please wait here. Please wait here. Please wait here. Please wait here. Please wait here.,Please wait here. | Please wait here.,Please wait here.,Please wait here. | Please wait here. | Please wait here.,Please wait here. | Please wait here.,Please wait here.,Please wait here. | Please wait here.
44415,62110,Where is the nearest subway station?,Where's the latest subway station?,Where's the nearest subway station?,Where is the nearest metro station?,Where is the nearest metro station? | Where is the nearest metro station?,Where is the nearest subway station? | Where is the nearest subway station? | Where is the nearest subway station? | Where is the nearest subway station?,Where's the nearest metro stop? | Where's the nearest subway stop?,Where's the nearest subway station?,Where is the nearest subway station from here? | Which is the nearest subway station?,Where is the nearest subway station? | Where is the nearest subway station?,Where is the nearest subway station? | Where is the nearest subway station?,Where is the nearest subway station? | Where is the nearest subway station? | Where is the nearest subway stop? | Where is the nearest subway stop? | Where is the nearest subway station?,Where is the nearest metro station?,Where's the nearest subway station? | Where's the nearest subway station?
44885,62608,Nobody was injured.,No one was injured.,No one was hurt. | No one was hurt. | No one was hurt. | No one was hurt.,No one was injured.,No one was injured.,No one was injured.,No one was hurt. | No one was injured.,No one was injured. No one was injured. No one was injured.,Nobody was hurt. | Nobody was hurt.,No one was injured.,No one was injured.,No one was injured. | No one was injured.,No one was injured.,Nobody was hurt.
45368,63119,Today is Sunday.,It's Sunday today.,It's Sunday today. | It's Sunday today.,Today is Sunday.,Today is Sunday. | It's Sunday today.,Today is Sunday.,It's a Sunday.,It's Sunday today.,It's Sunday. | It's Sunday. | It's Sunday.,Today is Sunday. | Today is Sunday.,Today is Sunday. | This day is Sunday.,Today is Sunday. | Today is Sunday.,Today is the market.,This is a Sunday. | This is a Sunday.
45458,63212,Do you believe in ghosts?,Do you believe in ghosts? Do you believe in ghosts? Do you believe in ghosts?,Do you believe in talking? | Do you believe in minds?,Do you believe in dreams?,Do you believe in the ghosts? | Do you believe in the ghosts? | Do you believe in the ghosts? | Do you believe in the ghosts? | Do you believe in the ghosts? | Do you believe in the ghosts?,Do you believe in ghosts? | Do you believe in ghosts? | Do you believe in ghosts?,Do you believe in ducks? | Do you believe in ducks?,Do you believe in ghosts? Do you believe in ghosts? Do you believe in ghosts? Do you believe in ghosts? Does she believe in ghosts? Do you believe in ghosts?,Do you believe in ghosts? Do you believe in ghosts? Do you believe in ghosts? Do you believe in ghosts? Do you believe in ghosts? Do you believe in ghosts? Do you believe in ghosts? Do you believe in ghosts? Do you believe in ghosts?,Do you believe in spirits?,Do you believe in ghosts? Do you believe in ghosts? Do you believe in ghosts? Do you believe in ghosts? Do you believe in ghosts? Do you believe in ghosts?,Do you believe in ghosts? | Do you believe in ghosts? | Do you believe in ghosts?,Do you believe in miracles? | Do you believe in miracles?,Do you believe in ghosts?
45461,63215,You make me happy.,You make me happy.,You make me happy.,You make me happy. | You make me happy.,You make me happy | You make me happy | You make me happy | You make me happy.,You make me happy. | You make me happy. | You make me happy.,You make me happy. | You make me happy.,You make me happy. You make me happy. You make me happy. She makes me happy. You make me happy. You make me happy.,"Kimi makes me happy. | Thanks to you, I am happy.",You make me happy.,You make me happy. You make me happy. You make me happy. You make me happy. You make me happy.,You make me happy.,You make me happy.,You make me happy. | You make me happy. | You make me happy.
