,index,english,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish
125133,314287,She sat next to me.,She was sitting by me.,She sat beside me. She sat beside me. She sat beside me. She sat beside me. She sat beside me. She sat beside me. She sat beside me. She sat beside me. She sat beside me. She sat beside me. She sat beside me. She sat beside me.,She sat next to me.,She sat next to me.
126464,315731,Who is she?,Who is she?,Who are you? Who are you? Who are you?,Who is she?,Who is she?
126944,316246,She married him.,She married him.,She married him. She married him.,She married him.,She married him.
127156,316478,She wanted to help them.,She wanted to help them.,She wanted to help them. She wanted to help them. She wanted to help them. She wanted to help them.,She wanted to help them.,She wanted to help them.
127208,316540,She looks sad.,She looks sad.,She looks sad. She looks sad.,She looks sad.,She looks sad.
127209,316541,She looked sad.,She seemed sad.,She looked sad. She looked sad.,She looked sad.,She looked sad.
127559,316925,She walks.,She's going.,She walks.,She walks.,She's coming.
128303,317756,Don't be sad.,Don't be sad.,Don't be sad. Don't be sad. Don't be sad.,Don't be sad. Don't be sad. Don't be sad.,Don't be sad.
128371,317830,Are you tired?,Are you tired? Are you tired? Are you tired?,"Are you tired, are you tired, are you tired, are you tired, are you tired, are you tired, are you tired, are you tired?",Are you tired? Are you tired?,Are you tired?
130313,319990,I know.,I know. I know.,I know. I know.,I know. I know.,I know.
130613,320329,That's weird.,That's weird.,It's weird. It's weird.,It's weird.,It's weird...
130674,320395,Study!,Learn!,"Study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study. study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study, study,",Study.,Learn!
131189,320948,I'm breast-feeding my baby.,I'm breastfeeding my baby.,I'm breast-feeding my baby. I'm breast-feeding my baby.,I'm breast-feeding.,I'm breast-feeding the baby.
131519,321324,It's not my fault.,It's not my fault. lt's not my fault. lt's not my fault!,It's not my fault.,It wasn't my fault! It wasn't my fault! It wasn't my fault! It wasn't my fault! it wasn't my fault! it wasn't my fault! it wasn't my fault! it wasn't my fault! it wasn't my fault! it wasn't my fault!,It's not my fault.
131613,321441,Tell me the truth.,Tell me the truth. Tell me the truth. Tell me the truth.,"Tell me the truth, tell me the truth, tell me the truth.",Tell me the truth. Tell me the truth. Tell me the truth.,Tell me the truth.
131614,321442,Leave it to me.,Leave it to me. Leave it to me.,Let me do it. ♪ Let me do it. ♪ Let me do it. ♪ Let me do it. ♪ Let me do it. ♪ Let me do it. ♪,Leave it to me.,Leave it to me.
131654,321497,Do you love me?,Do you love me?,Do you love me? Do you love me? Do you love me? Do you love me? Do you love me?,Do you love me? Do you love me?,Do you love me?
131743,321599,I have three cameras.,I have three cameras.,I have three cameras. I have three cameras.,I have three cameras.,I have three cameras.
131805,321673,I'm so happy.,I'm so glad. I'm very happy. I'm so happy.,I'm so happy.,I'm so happy.,I'm so happy.
131829,321700,I have to go now.,I have to go now.,I have to go now. I have to leave now.,I have to go now. I have to go now. I have to go now. I have to go now.,I have to go.
131945,321846,I have a dictionary.,I have a dictionary.,I have a dictionary.,I have a dictionary. I have a dictionary.,I have a dictionary.
131948,321849,I have two cars.,I have two cars.,I have two cars. I have two cars. I have two cars. I have two cars. I have two cars. I have two cars.,I have two cars.,I have two cars.
131954,321857,I looked around me.,I looked around. I looked around.,I looked around me. I looked around. I looked around. I looked around. I looked around. I looked around. I looked around.,I looked around.,I looked around.
131964,321870,I want to sleep.,I want to sleep.,I want to sleep. I want to sleep.,I want to sleep. I want to sleep.,I want to sleep.
132036,321954,I have a cold.,I have a cold.,I have a cold. I have a cold.,I've got a cold. I've got a cold. I've got a cold. I've got a cold.,I've got a cold.
132064,321985,"Me, too.","Me, too. Me, too. Me, too.","Me, too. So do I. So do I.","I love you, too. I love you, too.",So do I. Me too.
132082,322004,When can we eat?,When can we eat?,When can we eat? ♪ When can we eat?,When can we eat?,When can we eat?
132232,322178,Many thanks.,Thank you very much. Thank you.,Thank you very much. Thank you very much. Thank you very much. Thank you very much.,Thank you very much. Thank you very much.,Thanks a lot.
132630,322631,Fill it up.,"Fill it up, fill it up, fill it up.",Fill it up. Fill it up. Fill it up.,"Fill it up, please.",Fill it up.
132811,322841,Is it free?,Is it free? Is it free?,Is it free? is it free? is it free? is it free?,Is it free?,Is it free? Is it free? It's free? It's free?
133456,323576,Wood burns.,"Burning wood, burning wood, burning wood.",Wood burns.,The wood burns. The wood burns.,Wood's on fire.
133584,323728,My eyes are sore.,"My eyes are burning, my eyes are burning.",My eyes hurt.,My eyes hurt.,My eyes hurt.
133619,323770,Keep your eyes open.,"Keep your eyes open, keep your eyes open, keep your eyes open, keep your eyes open.",Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open. • Keep your eyes open.,"Be careful, sir. Keep your eyes open.",Keep your eyes open.
133631,323789,Don't shut your eyes.,"Don't close your eyes, don't close your eyes, don't close your eyes.",Don't close your eyes. Don't close your eyes. Don't close your eyes.,Don't close your eyes.,Don't close your eyes.
134223,324442,Ghosts exist.,Ghosts exist.,Ghosts exist.,Ghosts exist.,Ghosts exist.
134290,324520,Let's play.,Let's play.,Let's play. Let's play.,Let's play.,Let's play.
134514,324760,Don't eat too much.,Don't eat too much.,Don't eat too much. Don't eat too much. Don't eat too much.,Don't eat too much. Don't eat too much.,Don't eat too much.
134619,324880,The leaves fell.,The leaves have fallen.,The leaves fell. The leaves fell.,The leaves fell.,The leaves are down.
134720,324997,Please come.,"Come on, please. Come on. Come on, please.","Please, come. Please, come. Please, come. Please, come. Please, come. Please, come.",Please come. Please come.,Please come.
135109,325429,Stand up!,Stand up! Stand up! Stand up!,Get up! Get up! Get up! Get up! Get up!,Stand up. Stand up!,Get up!
135175,325503,The dragon is an imaginary creature.,The dragon is an imaginary creature.,The dragon is an imaginary creature.,The dragon is an imaginary creature. The dragon is an imaginary creature.,The dragon is an imaginary creature.
135200,325529,Do you like to travel?,"Do you like to travel, do you like to travel, do you like to travel?",Do you like to travel? Do you like to travel? • Do you like to travel? • Do you like to travel? • Do you like to travel? • Do you like to travel?,Do you like to travel? &lt;i&gt;Do you like to travel?&lt;/i&gt; &lt;i&gt;Do you like to travel? &lt;i&gt;Do you like to travel? &lt;i&gt;Do you like to travel?&lt;/i&gt;,Do you like to travel?
135422,325769,The food is cold.,Food's cold.,The food is cold.,The cooking is cold. The cooking is cold. The cooking is cold.,The food's cold.
135739,326126,History repeats itself.,History repeats itself. History repeats.,History repeats itself.,History repeats itself.,History repeats itself.
137296,327777,I bought a red tie.,I bought a red tie.,I bought a red tie. I bought a red tie. I bought a red tie. I bought a red tie. I bought a red tie.,I bought a red tie.,I bought a red tie.
138103,328604,Fuck you!,Fuck you!,"Fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you fuck you, fuck you, fuck you fuck you, fuck you fuck you, fuck you fuck you!","Come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on!",Fuck off!
