,index,english,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
134514,324760,Don't eat too much.,Don't eat too much. ♪ Don't eat too much. ♪ Don't eat too much. ♪ Don't eat too much. ♪ Don't eat too much. ♪ Don't eat too much. ♪ Don't eat too much. ♪ Don't eat too much. ♪ Don't eat too much. ♪ Don't eat too much.,Don't eat too much.,Don't eat too much.,Don't eat too much.... Don't eat too much...
134619,324880,The leaves fell.,The leaves fell. The leaves fell.,The leaves fell.,The leaves fell.,The leaves fell.
134720,324997,Please come.,"Come, please. ♪ Come, please. ♪ Come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come, come.","Come, please.",Please come.,Please come.
135109,325429,Stand up!,Get up! Get up! Get up! Get up! Get up!,Stand up! Stand up! Stand up! Stand up! Stand up!,Get up!,Get up.
135175,325503,The dragon is an imaginary creature.,The dragon is a fictional creature.,The dragon is an imaginary creature.,The dragon is an imaginary creature.,The dragon is a fictional creature.
135200,325529,Do you like to travel?,Do you like to travel? Do you like to travel? Do you like to travel? Do you like to travel? Do you like to travel?,Do you like to travel?,Do you like to travel?,Do you like traveling?
135422,325769,The food is cold.,The food is cold.,The food's cold.,The food is cold.,The food is cold.
135739,326126,History repeats itself.,History repeats itself.,History repeats itself.,History repeats itself.,History repeats itself.
137296,327777,I bought a red tie.,I bought a red tie.,I bought a red tie.,I bought a red tie. I bought a red tie.,I bought a red tie.
138103,328604,Fuck you!,Fuck you! Fuck you! Fuck you! Fuck you!,Fuck you! Fuck you! Fuck you! Fuck you! Fuck you! Fuck you! Fuck you! Fuck you! Fuck you!,"Fuck you, fuck you, fuck you, fuck you!",Go fuck yourself!
139102,329612,Which country are you from?,What country are you from? What country are you from?,What country are you from?,What country are you from?,What country are you from?
139173,329684,This newspaper is free.,It's a free newspaper. This paper is free of charge.,This newspaper is free.  This newspaper is free.  This newspaper is free.,This newspaper is free of charge.,This paper is free.
139202,329713,Good morning!,Good morning!,Good morning!,Good morning.,Good morning.
139323,333156,Good evening.,Good evening.,Good evening. Good evening.,Good evening.,Good evening.
139329,335138,I am Chinese.,I'm Chinese. I'm Chinese. I'm Chinese.,I'm Chinese. I'm Chinese.,I'm Chinese. I'm Chinese.,I'm Chinese.
139401,341634,I have many friends.,I have a lot of friends.,I have a lot of friends.,I have many friends. I have many friends.,I have a lot of friends.
139413,347331,Who is he?,Who is he?,Who is he?,Who is he?,Who is he?
139463,348091,Come in.,Come in! Come in. Come in. Come in.,Come in!  Enter.  Pass.  Enter!   Go ahead!,Come.,Come in!
139472,348596,I'm pregnant.,I'm pregnant. I'm pregnant.,I'm pregnant. I'm pregnant.,I'm pregnant.,I'm pregnant.
139476,349064,I don't know.,I don't know. I don't know. I don't know.,I don't know. I don't know. I don't know. I don't know.,I don't know. I don't know.,I don't know.
139564,354379,I like cats.,I love cats. I love cats.,I like cats. I love cats.,I like cats. I like cats. I like cats.,I like cats.
139593,355041,"Happy birthday, Muiriel!","Happy birthday, Muriel!","Happy birthday, Muiriel!","Happy birthday Muiriel! Happy birthday, Muiriel! Happy birthday, Muriel!","Happy birthday, Muriel!"
139615,356200,Who are you?,Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who are you?,Who are you?  Who are you?  Who are you?  Who are you?  Who are you?  Who are you?  Who are you?,Who are you?,Who are you?......... who are you?........ who are you?.....
139643,357919,"I would love to write hundreds of sentences on Tatoeba, but I've got things to do.","I'd like to write hundreds of phrases on Tatoeba, but I've got things to do. ♪ I'd love to write hundreds of sentences on Tatoeba, but I've got things to do.","I would love to write hundreds of phrases in Tatoeba, but I have things to do.","I'd like to write hundreds of sentences to Tatoeba, but I have things to do.","I'd love to write hundreds of sentences in Tatoeba, but I have things to do."
139655,358152,Nobody is perfect.,No one's perfect. ♪ No one's perfect. ♪ No one's perfect.,No one is perfect.,No one is perfect. No one is perfect. No one is perfect.,No one is perfect. ❖ Perfect humans do not exist.
139668,360558,See you later!,I'll see you later.,See you later! See you later! See you later! See you later! See you later!,See you later!,See you later!
139676,361350,Happy New Year!,Happy New Year! Happy New Year. Happy New Year!,Happy New Year! Happy New Year! Happy New Year! Happy New Year.,Happy New Year!,Happy New Year!
139679,361576,Achoo!,Apchy!,Achhu! Achís!,Ahchoo!,Achoo!
139696,362737,I play the violin.,I play the violin.,I play the violin.,I play the violin.,I play violin.
139767,367935,I am a vegetarian.,I'm a vegetarian. I'm a vegetarian. I'm a vegetarian.,I'm a vegetarian. I'm a vegetarian.,I'm a vegetarian. I don't eat meat.,I'm vegetarian. I'm vegetarian.
139815,370580,My wife is a doctor.,My wife is a doctor. My wife is a doctor.,My wife is a doctor. My wife is a doctor.,My wife is a doctor.,My wife is a doctor.
139824,370607,He raised his hand.,He raised his hand.,He raised his hand. He raised his hand.,He raised his hand.,He raised his hand.
139846,370687,I love Arabic.,I love Arabic.,I love Arabic.,I love Arabic.,I love Arabic. I love Arabic.
139848,370703,Where are you from?,Where are you from? Where are you from? Where are you from? Where are you from?,Where do you come from?  Where are you from?  Where are you from?  Where are you from?  Where are you from?  Where are you from?  Where are you from?  Where are you from?  Where are you from?,Where are you from? Where are you from?,Where are you from?
139850,370708,Where do you live?,Where do you live? Where do you live? Where do you live? Where do you live?,Where do you live?  Where do you live?  Where do you live?  Where do you live?  Where do you live?,Where do you live? Where do you live? Where do you live? Where do you live?,Where do you live?
139910,371410,He is sick.,He's sick. He's sick.,He's sick.,He is sick.,He's sick.
139919,371429,There's a monster under my bed.,I have a monster under my bed.,There's a monster under my bed.,There's a monster under my bed.,There's a monster under my bed.
139995,372015,What do you want to eat?,What do you want to eat? What do you want to eat? What do you want to eat? What do you want to eat? What do you want to eat?,What do you want to eat?,What do you want to eat?,What do you want to eat?
140020,372352,What is your blood type?,What's your blood type? What's your blood type? What's your blood type? What's your blood type?,What is your blood type?  What is your blood type?  What is your blood type?,What's your blood type?,What's your blood type?
140040,372460,Cats don't like water.,Cats don't like water.,Cats don't like water.,Cats don't like water.,Cats don't like water.
140062,373215,Are you serious?,Are you serious? Are you serious? Are you serious? Are you serious?,Are you serious?,Are you serious?,Are you serious?
140063,373216,Really?,Really? Isn't that true?,"Really?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,?,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","Really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really?",Really?
140102,373320,How are you?,How are you doing? How are you doing? How are you doing? How are you doing? How are you doing?,How are you?  How are you?  How are you doing?  How are you?,How are you? How are you? How are you?,How are you?.... How are you?...... how are you?.....?
140104,373330,Hello!,Hello. Hello! Hello! Hello!,Hello. Hello. Hello!,Hi.,"Hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello."
140144,374827,Thank you!,Thank you!,Thank you!,"Thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you!",Thank you.
140199,376610,I do not understand.,I don't understand. I don't understand.,I don't understand. I don't understand.,I don't understand.,I don't understand.
140200,376611,I don't understand.,I don't understand. I don't understand.,I don't understand. I don't understand.,I don't understand.,I don't understand.
140288,378270,Do you speak English?,Do you speak English?,Do you speak English?  Can you speak English?  Can you speak English?  Do you speak English?  Do you speak English?,Do you speak English? Do you speak English?,Do you know English? You speak English?
140299,378502,I have a dog.,I have a dog.,I have a dog.,I have a dog. I have a dog.,I have a dog.
140341,379143,Do you want to go?,Do you want to go? Do you want to go? Do you want to go? Do you want to go? Do you want to go? Do you want to go? Do you want to go? Do you want to go? Do you want to go? Do you want to go?,You want to go?,Do you want to go?,Do you want to leave?
140552,386704,I am a man.,I'm a man. I'm a man.,I am a man. I am a person. I am a man. I am a man.,I'm a man.,I'm a man.
140559,386729,Do you like music?,Do you like music? ♪ Do you like music? ♪ Do you like music?,Do you like music? Do you like music?,Do you like music?,Do you like music?
140564,386734,He likes oranges.,He likes oranges.,He likes oranges. He likes oranges. He loves oranges.,He likes oranges.,He likes oranges.
140579,386766,Tomorrow is Christmas.,It's Christmas tomorrow.,Tomorrow's Christmas.,Tomorrow's Christmas.,Tomorrow is Christmas.
140606,387411,It's a little cold today.,It's a little chilly today.,It's a little cool today. It's a little cold today.,It's a little cold today.,It's a bit cold today.
140621,387427,Let's begin.,Let's get started. Let's get started.,Let's get started!,Let's get started.,Let's start.
140622,387428,Let's start!,Let's get started!,Let's get started!,Let's get started.,Let's start.
140631,387437,I have a high fever.,I have a high fever. I have a high fever.,I have a high fever.,I have a high fever.,I have a high fever.
140864,388374,She hated her husband.,She hated her husband.,She hated her husband.,She hated her husband.,She hated her husband.
141043,388834,He likes watching TV.,He likes to watch TV. He likes to watch TV.,He likes watching TV.,He likes to watch TV.,He likes to watch TV.
141078,388869,We are men.,We're men. We're people.,We're men.,We're men.,We're men.
141085,388890,What's she doing?,What's she doing?,What's she doing?,What's he doing?,What's she doing?
141096,388978,He can read well.,He's good at reading. ♪ He's good at reading. ♪ He's good at reading.,He can read well. He can read well enough.,He can read well.,He can read well.
141316,391906,He loves traveling.,He loves to travel. ♪ He likes to travel.,He loves to travel. He loves to travel. He loves to travel.,He likes to travel.,He likes to travel.
141375,392296,Finally!,♪ Finally ♪ ♪ Finally ♪ ♪ Finally ♪,Finally!,Finally!,Finally!
141425,393357,Please.,Please!,Please!,Please!,Please.
141456,393812,"All animals are equal, but some animals are more equal than others.","All animals are equal, but some are equal to others.","All animals are the same, but some are more alike than others.","All animals are equal, but some animals are more equal than others.","All animals are equal, but some animals are more equal than others."
