,index,english,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german
140144,374827,Thank you!,Thank you! Thank you! Thank you! Thank you! Thank you! Thank you! Thank you!,Thank you!,"Thank you, thank you, thank you.",Thank you.
140199,376610,I do not understand.,I don't understand.,I don't understand. I don't understand.,I don't understand.,I don't understand.
140200,376611,I don't understand.,I don't understand. I don't understand. I don't understand.,I don't understand. I don't understand.,I don't understand.,I don't understand.
140288,378270,Do you speak English?,Do you speak English? Do you speak English?,Do you speak English?,Do you speak English?: Can you speak English?: Can you speak English?: Can you speak English?: Can you speak English?: Can you speak English?: Can you speak English?,Do you speak English? Do you speak English? Do you speak English? Do you speak English?
140299,378502,I have a dog.,I have a dog.,I have a dog.,I have a dog.,I have a dog.
140341,379143,Do you want to go?,Do you want to go? Do you want to go? Do you want to go?,Do you want to go?,Do you want to go?: Do you want to go?: Do you want to go?: Do you want to go?: Do you want to go?: Do you want to go?: Do you want to go?: Do you want to go?,You want to go?
140552,386704,I am a man.,I'm a man.,I am a man.,I'm a man.,I'm a man. I'm a man.
140559,386729,Do you like music?,Do you like music?,Do you like music? • Do you like music? • Do you like music?,Do you like music?How do you like music?How do you like music?How do you like music?How do you like music?How do you like music?How do you like music?,Do you like music?
140564,386734,He likes oranges.,He likes oranges.,He likes oranges.,He likes oranges.,He likes oranges.
140579,386766,Tomorrow is Christmas.,Tomorrow's Christmas.,Tomorrow's Christmas.,Tomorrow's Christmas.,It's Christmas tomorrow.
140606,387411,It's a little cold today.,It's a little chilly today.,It's a little cold today.,It's a little cold today.,It's a little cold today.
140621,387427,Let's begin.,Let's get started.,Let's get started.,Let's start!,Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started! Let's get started! Let's get started!
140622,387428,Let's start!,Let's get started.,Let's go!,Let's start!,Let's get going. Let's get started. Let's get started.
140631,387437,I have a high fever.,I have a high fever.,"I have a high fever, and I have a high fever.",I have a lot of fever.,I have a high fever.
140864,388374,She hated her husband.,She hated her husband.,He hated his husband.,She hated her husband.,She hated her husband.
141043,388834,He likes watching TV.,"He likes to watch TV, he likes to watch TV.",He likes to watch TV.,He likes watching television.,He likes to watch TV. He likes to watch TV.
141078,388869,We are men.,We're men.,We're men.,We're men.,We're men.
141085,388890,What's she doing?,What is she doing?,What is he doing?,What's she doing?,What's she doing?
141096,388978,He can read well.,He's a good reader.,He's good at reading.,He can read well.,He's good at reading.
141316,391906,He loves traveling.,He loves to travel.,He loves to travel.,He loves to travel.,He loves to travel. He loves to travel.
141375,392296,Finally!,Finally!,Finally!,Finally!,Finally!
141425,393357,Please.,"Please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please,","Please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please. Please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please,","Please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please.",Please.
141456,393812,"All animals are equal, but some animals are more equal than others.","All animals are equal, but some animals are more equal than others.","Animals are equal, but some are more equal than others.","All animals are equal, but some animals are more equal than others.","All animals are the same, but certain animals are the same as others. All animals are the same, but some are the same. All animals are the same, but some animals are the same, but some animals are the same, but some animals are the same, but some animals are the same, but some animals are the same, but some animals are the same, but some animals are the same, but some animals are the same."
141549,394633,He loves her.,He loves her.,He loves her.,He loves her.,He loves her.
141641,395036,I can't stand him.,I can't stand him.,I can't stand him. I can't stand him.,I can't stand it..I can't stand it.,I can't stand him. I can't stand him. I can't stand him. I can't stand him. I can't stand him. I can't stand him.
141651,395051,I know those girls.,I know those girls.,I know those girls.,I know these girls.,I know these girls.
141811,395934,Great!,"Great! Oh, that's great! Oh, that's great! Oh, that's great! Oh, that's great! Oh, that's great! Oh, that's great! Oh, that's great! Oh, that's great! Oh, that's great! Oh, that's great!",That's great!,Great!: Very good!: Sensass!:::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::,Great!
141972,397714,I am tired.,I'm tired.,"I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired.",I'm tired!,I'm tired.
